GDPC1,CPIAUCSL,UNRATE,FEDFUNDS,CIVPART,INDPRO,TOTALSA,DSPIC96,PCE,DGS10,CPALTT01USM657N
17064.616,237.498,6.2,0.09,62.9,102.8425,17.277,12835.1,11879.2,2.58,-0.0390193964161093
,237.46,6.1,0.09,62.9,102.6499,17.239,12896.3,11958.8,2.35,-0.167051416579219
,237.477,5.9,0.09,62.8,102.9647,16.959,12938.8,11964.9,2.52,0.0752568824311014
17141.235,237.43,5.7,0.09,62.9,102.9704,16.756,12995.3,12035.5,2.35,-0.251227781255389
,236.983,5.8,0.09,62.9,103.6017,16.949,13062.8,12058.4,2.18,-0.539941794106119
,236.252,5.6,0.12,62.8,103.592,17.178,13150.5,12067.6,2.17,-0.567010091001089
17280.647,234.747,5.7,0.11,62.9,102.798,16.912,13224.7,12036.5,1.68,-0.470589237347324
,235.342,5.5,0.11,62.7,102.1554,16.895,13271.8,12083.1,2.0,0.434304492377206
,235.976,5.4,0.11,62.6,101.8077,17.894,13233.7,12132.2,1.94,0.595172161109732
17380.875,236.222,5.4,0.12,62.8,101.2285,17.689,13262.8,12170.3,2.05,0.203287325458769
,237.001,5.6,0.12,62.9,100.7536,17.945,13284.7,12233.6,2.12,0.509723202549469
,237.657,5.3,0.13,62.7,100.4529,17.881,13292.7,12270.3,2.35,0.350286999852812
17437.08,238.034,5.2,0.13,62.6,101.11,18.305,13324.1,12327.5,2.2,0.0067047159295661
,238.033,5.1,0.14,62.6,100.8802,18.407,13354.9,12359.3,2.21,-0.141627628281935
,237.498,5.0,0.14,62.4,100.608,18.273,13392.0,12356.4,2.06,-0.155675657530359
17462.579,237.733,5.0,0.12,62.5,100.151,18.272,13419.8,12362.3,2.16,-0.0449683750446447
,238.017,5.1,0.12,62.5,99.3817,18.32,13417.7,12397.5,2.21,-0.211068037908146
,237.761,5.0,0.24,62.7,98.8572,17.492,13482.0,12432.8,2.27,-0.341709643711866
17565.465,237.652,4.8,0.34,62.7,99.4086,18.07,13531.6,12452.1,1.94,0.165310220906868
,237.336,4.9,0.38,62.8,98.8946,18.08,13546.1,12526.3,1.74,0.0823076533454985
,238.08,5.0,0.36,63.0,98.1385,17.29,13547.2,12506.8,1.78,0.430600014339268
17618.581,238.992,5.1,0.37,62.9,98.4364,17.664,13522.0,12586.0,1.83,0.4741067979104
,239.557,4.8,0.37,62.7,98.2096,17.697,13515.1,12624.4,1.84,0.404579099811517
,240.222,4.9,0.38,62.7,98.6766,17.728,13521.5,12701.7,1.49,0.328436616728188
17724.489,240.101,4.8,0.39,62.8,98.8371,18.123,13567.1,12720.6,1.46,-0.161813640474981
,240.545,4.9,0.4,62.9,98.7302,17.917,13578.9,12749.8,1.58,0.0918430107884498
,241.176,5.0,0.4,62.9,98.6287,17.949,13608.3,12806.8,1.6,0.240399586462898
17812.56,241.741,4.9,0.4,62.8,98.7126,17.966,13627.7,12828.1,1.84,0.124674851301432
,242.026,4.7,0.41,62.7,98.3004,17.785,13657.8,12853.6,2.37,-0.155546086733514
,242.637,4.7,0.54,62.7,98.9063,18.278,13685.3,12962.9,2.45,0.0327321392317517
17889.094,243.618,4.7,0.65,62.8,98.7349,17.654,13747.2,13020.4,2.45,0.582772789025459
,244.006,4.6,0.66,62.9,98.4178,17.702,13783.4,13038.6,2.36,0.314611738641666
,243.892,4.4,0.79,62.9,99.0726,17.047,13840.4,13089.3,2.4,0.0812797871947232
17979.218,244.193,4.4,0.9,63.0,100.0545,17.188,13864.5,13114.1,2.29,0.296553336532688
,244.004,4.4,0.91,62.8,100.139,17.07,13957.3,13117.6,2.21,0.0854721826896363
,244.163,4.3,1.04,62.8,100.3148,17.122,13959.9,13170.3,2.31,0.0907111014861139
18127.994,244.243,4.3,1.15,62.9,100.1418,17.251,13995.9,13193.5,2.3,-0.0689922638852295
,245.183,4.4,1.16,62.9,99.6878,17.04,14003.4,13234.1,2.12,0.299445229710857
,246.435,4.3,1.15,63.1,99.7829,18.318,14021.4,13353.4,2.33,0.529490589323034
18310.3,246.626,4.2,1.15,62.7,101.0401,18.484,14049.5,13383.4,2.38,-0.0632042103727646
,247.284,4.2,1.16,62.7,101.226,17.995,14060.5,13479.8,2.42,0.0024324685907436
,247.805,4.1,1.3,62.7,101.3878,17.903,14081.0,13609.0,2.4,-0.05878322772623
18437.127,248.859,4.0,1.41,62.7,101.345,17.508,14173.9,13628.4,2.72,0.544774545277541
,249.529,4.1,1.42,63.0,101.7068,17.461,14198.4,13668.3,2.87,0.45346899748655
,249.577,4.0,1.51,62.9,102.2785,17.628,14242.1,13735.4,2.74,0.226112590414904
18565.697,250.227,4.0,1.69,62.9,103.434,17.651,14275.9,13792.1,2.95,0.397509156334893
,250.792,3.8,1.7,62.9,102.4735,17.558,14320.7,13860.2,2.83,0.4158916925435
,251.018,4.0,1.82,63.0,103.2508,17.571,14374.9,13900.2,2.85,0.159387570154372
18699.748,251.214,3.8,1.91,63.0,103.4588,17.456,14440.0,13952.3,2.96,0.0067463262285171
,251.663,3.8,1.91,62.6,104.1802,17.39,14495.0,14001.1,2.86,0.0555542328357295
,252.182,3.7,1.95,62.8,104.1665,17.828,14495.6,14013.0,3.05,0.116202517589025
18733.741,252.772,3.8,2.19,62.9,104.0476,18.299,14542.2,14096.5,3.15,0.176676345572587
,252.594,3.8,2.2,62.9,103.9603,18.02,14588.7,14160.6,3.01,-0.334934851810097
,252.767,3.9,2.27,63.0,103.869,18.167,14773.3,14051.7,2.69,-0.319396281513109
18835.411,252.718,4.0,2.4,63.1,103.2684,17.291,14791.2,14090.0,2.63,0.190659666524684
,253.322,3.8,2.4,63.1,102.8157,16.968,14835.3,14113.9,2.73,0.422705314009692
,254.202,3.8,2.41,63.0,102.9,17.733,14843.9,14233.8,2.41,0.564135835680577
