DATE,CPALTT01USM657N,UNRATE,PPIACO,M2SL
2013-01-01,0.22519602711237532,1.476265293076086,-0.18053015953998605,-1.2317683476743866
2013-02-01,1.681137937273595,1.3140383377929998,-0.10140649730222172,-1.231075859669552
2013-03-01,0.12981733608068077,1.205887034270942,-0.11459377434184952,-1.2122401859380487
2013-04-01,-0.8869047287421407,1.2599626860319706,-0.13657256940789503,-1.2022960581886228
2013-05-01,-0.10226102646797741,1.205887034270942,-0.11019801532864067,-1.1905791611468197
2013-06-01,0.0700517209587354,1.205887034270942,-0.10140649730222172,-1.1748735331971696
2013-07-01,-0.4880127416572176,1.0977357307488844,-0.09701073828901287,-1.162159453428405
2013-08-01,-0.262936730186377,1.0436600789878558,-0.10580225631543182,-1.1457059384335326
2013-09-01,-0.274045950224396,1.0436600789878558,-0.11898953335505838,-1.1315514836147123
2013-10-01,-1.3141788542936166,1.0436600789878558,-0.18053015953998605,-1.0995862373115433
2013-11-01,-1.1659173268276402,0.8814331237047696,-0.2376750267117049,-1.0961791963277567
2013-12-01,-0.621513743978754,0.773281820182712,-0.20250895460603158,-1.0796148832521115
2014-01-01,0.43747573160073877,0.7192061684216828,-0.12338529236826723,-1.0657374236352244
2014-02-01,0.43126017151293405,0.773281820182712,-0.039865871117295275,-1.0429961175564535
2014-03-01,1.1942258739246252,0.773281820182712,0.017278996054423557,-1.0321379056406457
2014-04-01,0.3196439158356676,0.502903561377568,0.07442386322614239,-1.0164322776909953
2014-05-01,0.3741382849792055,0.5569792131385966,0.061236586186514584,-0.9972088106767848
2014-06-01,-0.07952366542625801,0.44882790961653896,0.07442386322614239,-0.9821402716915818
2014-07-01,-0.7062044473671426,0.502903561377568,0.061236586186514584,-0.965742155737097
2014-08-01,-1.0624379051093795,0.44882790961653896,0.017278996054423557,-0.9575707972800478
2014-09-01,-0.3882446596531347,0.34067660609448175,-0.00909555802483081,-0.9483191575354566
2014-10-01,-1.2966483581707433,0.2325253025724241,-0.14096832842110388,-0.9315332482982639
2014-11-01,-2.099959834201695,0.2866009543334527,-0.25086230375133145,-0.9200933464583947
2014-12-01,-2.175274064077972,0.17844965081139502,-0.4222969052664867,-0.8988201149498737
2015-01-01,-1.9069948160290857,0.2325253025724241,-0.6420848559269419,-0.8811755205866858
2015-02-01,0.6107614594586256,0.12437399905036643,-0.681646687045824,-0.8482961901171356
2015-03-01,1.0583560986630487,0.07029834728933784,-0.6640636509929874,-0.8439473654467736
2015-04-01,-0.03201559009762738,0.07029834728933784,-0.6904382050722417,-0.8307069947943349
2015-05-01,0.820604808559088,0.17844965081139502,-0.5805442297420141,-0.8215938526507106
2015-06-01,0.37699304875427575,0.01622269552830877,-0.5190036035570865,-0.8089905709627194
2015-07-01,-0.5789826896979021,-0.03785295623271982,-0.5585654346759686,-0.7944206233409977
2015-08-01,-0.9916993195390672,-0.0919286079937489,-0.6464806149401507,-0.7802661685221768
2015-09-01,-1.0307862450382876,-0.1460042597547775,-0.7695618673100061,-0.765031432415814
2015-10-01,-0.7227567537681351,-0.1460042597547775,-0.8398940115213515,-0.7560844873933501
2015-11-01,-1.184908777584548,-0.0919286079937489,-0.9190176737591158,-0.7313765153808486
2015-12-01,-1.5484030886261766,-0.1460042597547775,-1.0157243720497156,-0.7153107936686841
2016-01-01,-0.13768224483233274,-0.25415556327683514,-1.0552862031685977,-0.6804093982250163
2016-02-01,-0.36862675079420865,-0.20007991151580606,-1.1124310703403153,-0.6594685609588156
2016-03-01,0.6004542017983652,-0.1460042597547775,-1.0772649982346432,-0.6417131685148543
2016-04-01,0.7215065129861656,-0.0919286079937489,-1.0289116490893433,-0.6171436941033203
2016-05-01,0.5280541854272512,-0.25415556327683514,-0.9366007098119512,-0.5985296165333639
2016-06-01,0.3161970266063709,-0.20007991151580606,-0.8354982525081426,-0.5801648346451485
2016-07-01,-1.0478644328630207,-0.25415556327683514,-0.8311024934949337,-0.5635174230089227
2016-08-01,-0.3420957833972773,-0.20007991151580606,-0.8794558426402337,-0.5396404366022228
2016-09-01,0.07124474310097788,-0.1460042597547775,-0.8662685656006058,-0.523103823046771
2016-10-01,-0.25074519738698753,-0.20007991151580606,-0.8750600836270248,-0.5044066469162347
2016-11-01,-1.0304257301223807,-0.3082312150378637,-0.8926431196798602,-0.4847122880587364
2016-12-01,-0.5065645634569325,-0.3082312150378637,-0.8091236984288882,-0.47554374687472517
2017-01-01,1.023856360349259,-0.3082312150378637,-0.6992297230986607,-0.4552953976133591
2017-02-01,0.27773099195853473,-0.3623068667988928,-0.6596678919797785,-0.43626582724050245
2017-03-01,-0.37148666281090886,-0.47045817032095,-0.6640636509929874,-0.4170977592666784
2017-04-01,0.22748569381838643,-0.47045817032095,-0.5981272657948509,-0.3998409581861984
2017-05-01,-0.3598218344228758,-0.47045817032095,-0.6069187838212685,-0.3854649072058306
2017-06-01,-0.34524518277493316,-0.5245338220819791,-0.5717527117155965,-0.37878932283922423
2017-07-01,-0.789600290089704,-0.5245338220819791,-0.5761484707288053,-0.3615879207991307
2017-08-01,0.2355320333588225,-0.47045817032095,-0.5629611936891775,-0.3453560019658058
2017-09-01,0.8756051477859795,-0.5245338220819791,-0.5190036035570865,-0.33358370588361624
2017-10-01,-0.773495738168117,-0.5786094738430076,-0.5146078445438776,-0.3182658712166734
2017-11-01,-0.5908696960881779,-0.5786094738430076,-0.4706502544117866,-0.31087009932503884
2017-12-01,-0.7611948939512792,-0.6326851256040367,-0.4530672183589499,-0.29751893059182655
